lat,lon,store
-6.98243,109.12361,V426
-6.88624,107.6043,B951
-7.53062,110.82728,O472
-7.50626,112.72672,M697
2.94236,99.05189,W090
-7.98855,112.63216,M388
-7.80056,110.34112,O453
-1.60791,103.60483,1D28
-5.18231,119.48794,R264
-6.96893,110.48177,H145
-6.95182,109.80276,H210
-6.89031,109.70164,H017
-6.90225,109.66116,H067
-8.6274,115.26338,Q022
-7.4751,112.72412,M701
-7.45441,112.71408,M703
-6.62416,105.98685,T701
-7.08776,107.14232,N426
-4.13692,104.62788,P336
-3.79401,119.65164,R287
-7.59586,109.11989,I448
-7.11667,109.24582,H473
-8.59305,116.15456,Q161
-7.39978,112.59218,M711
-6.09472,106.12903,T784
-7.41983,112.66785,M713
-7.60658,110.66444,O476
-7.19089,111.96597,U540
-7.06761,111.84177,U541
-7.2308,111.85864,U539
-7.66342,112.01333,M380
-7.40134,112.21589,M657
-1.59978,103.60676,1D50
-6.39854,106.6882,X528
-6.24334,107.36062,C507
-8.34214,113.60735,Y050
-2.9976,104.79396,P298
-1.61417,103.63051,1D53
-8.01215,111.90199,M660
-7.91344,113.79199,Y137
3.55892,98.6889,W122
-5.16146,119.46125,R024
1.28569,101.19314,1A81
1.30035,101.17903,1A82
-6.97561,107.63528,B942
-4.10516,104.64353,P304
-6.5839,106.16603,T844
-7.32938,110.96181,O450
-7.83089,110.36706,O436
-3.04867,104.78454,P275
-6.18423,106.85238,J174
-6.26245,107.14016,CC24
-6.40082,106.85121,X385
-7.60388,110.81865,O169
-6.93963,107.63073,B937
3.03435,99.08529,W138
-6.29106,107.78659,N464
-6.96429,107.56327,B785
-6.66295,108.39175,V410
-7.48766,108.69943,B833
-6.29898,107.91505,N469
-6.27431,107.65989,N471
-7.75479,109.97367,I415
-6.32808,106.46064,X468
-6.48161,106.46682,X467
-8.06418,112.60242,M007
-6.20926,106.7608,KA03
-6.31685,106.8791,EF59
-6.43693,106.79692,X331
-4.93372,105.2172,L428
-7.17278,111.66058,U536
-7.16385,111.86861,U538
-7.05619,107.56994,B934
-6.32193,107.31369,C354
-6.52739,110.7069,H165
-6.91601,109.74795,H273
-7.32784,110.31888,H283
-7.98337,112.62354,M310
-6.39948,105.96123,T832
-6.16349,106.90378,J637
-7.97431,112.66591,M024
-6.93977,107.74974,B820
-6.41332,106.84923,X354
-6.49374,106.89126,X361
-6.56859,106.86479,X363
-6.92197,107.58719,B874
-6.15626,106.82119,K294
-7.31335,112.71802,U522
3.33148,99.16044,W083
-6.19651,106.95456,J079
-8.33491,113.54987,Y212
-7.24753,109.00649,V393
-7.86471,112.68333,M344
-7.85545,113.36107,Y153
-6.15036,106.8077,K179
2.96659,99.06712,W133
-8.27249,113.36633,Y150
3.5409,98.6201,W053
3.52499,98.6524,W052
-6.92634,107.6339,B773
-8.47532,114.22558,Y001
-6.40587,106.72507,X475
-6.14541,106.69623,K471
-3.78657,103.55344,P308
-6.39207,106.78474,X313
-2.99136,104.7373,P283
-7.0691,107.56583,B925
-6.45086,106.79893,X306
-7.06146,109.24296,V361
-6.34306,106.39802,T757
-6.57407,106.75169,X159
-6.5149,106.79636,X134
-6.57738,106.65621,X208
0.52417,101.44228,1A09
-7.66906,109.65066,I030
-6.20768,106.6098,T328
-8.00153,112.62201,M120
-8.21467,112.64237,M110
-6.88126,107.60389,B884
-6.91746,107.59314,B907
-8.63382,115.25649,Q229
-8.5513,115.21962,Q231
-6.75388,107.81962,N513
-7.28092,110.10465,H284
-6.1615,106.80613,K189
-6.15424,106.81151,K216
-7.6373,111.54814,O432
3.7274,98.61809,W072
-6.27438,106.75503,K708
-7.56774,112.69182,M221
0.49962,101.45908,1A33
-6.91628,107.60824,B892
-6.19582,106.96365,J667
-7.59132,112.26416,M647
-6.38279,106.92421,EB42
-7.19387,113.47337,U481
-7.74864,108.43976,B824
-8.21431,113.67726,Y143
-6.97954,106.30989,T772
-6.18592,106.8479,J187
-7.1553,108.20543,B631
-7.68283,109.89276,I402
-7.72009,109.93159,I403
-4.40532,104.36619,L394
-6.90473,109.12606,V407
-6.31041,106.74722,AB83
-6.35709,106.24966,T645
0.48416,101.50666,1A29
-7.04068,113.69073,U502
-8.12925,113.81253,Y214
-7.67788,109.97914,I407
-6.63841,106.77432,X189
-6.29517,106.73444,A090
